id,name,sponsor,event,venue,place,physical_description,occasion,notes,call_number,keywords,language,date,location,location_type,currency,currency_symbol,status,page_count,dish_count,occasion_cleaned,category,category_name
12469,,HOTEL NETHERLAND,SUPPER,COMMERCIAL,"NEW YORK, [NY];",CARD; ILLUS; COL; 6.0X8.75;,,HOTEL CREST IN BLUE; PRICED MENU;,1900-2838,,,1900-04-16,Hotel Netherland,,Dollars,USD,complete,2,144,,0,
12474,,ALPHA OF ZETA PSI,ANNUAL BANQUET,COMMERCIAL,"DELMONICO'S, [NEW YORK, NY];",BOOKLET; ILLUS; COL; 5.5X7.0;,,"VELLUM COVER; CREST OF ZETA PSI; TIED WITH BLUE SATIN RIBBON; PRICED WINE LIST; ALPHA CHAPTER OFFICERS; BANQUET COMMITTEE; TOASTS; LYRICS TO ""ZETA PSI, WE PLEDGE TO-NIGHT"" , A POEM, ""THE BADGE OF ZETA PSI""; LYRICS OF ""NEATH THE ARCH OFZETA'S TEMPLE"", AND ",1900-2844,,,1900-04-17,Alpha Of Zeta Psi,,Dollars,USD,complete,12,38,,0,
12475,,MANHATTAN HOTEL,DINNER,COMMERCIAL,"NEW YORK, NY",CARD; ILLUS; 6X9.5;,,A LA CARTE DU JOUR; HOTEL SEAL AT TOP OF MENU;,1900-2847,,,1900-04-18,Manhattan Hotel,,Dollars,USD,complete,2,176,,0,
12483,,MANHATTAN HOTEL,CARTE DU JOUR,COMMERCIAL,"NEW YORK, NY",CARD; ILLUS; 6X9.5;,,A LA CARTE MENU; HOTEL SEAL AT TOP OF MENU;,1900-2859,,,1900-04-18,Manhattan Hotel,,Dollars,USD,complete,2,129,,0,
12504,,U.S.M.S. NEW YORK,LUNCHEON,COMMERCIAL,EN ROUTE,CARD; 4 X 6.25;,,FLAG; PRICED WINE LIST AND EXCHANGE RATES ON BACK;,1900-1131,,,1900-02-18,U.S.M.S. New York,,Dollars,USD,complete,2,99,,0,
12505,,BARTHOLDI HOTEL,BREAKFAST,COMMERCIAL,NY,BROADSIDE; COL; 7 X 11.75;,DAILY,VERY POOR CONDITION;,1900-1137,,,1900-02-18,Bartholdi Hotel,,Dollars,USD,complete,2,203,DAILY,1,Daily
12506,,BARTHOLDI HOTEL,LUNCH & DINNER,COMMERCIAL,23RD ST & BWAY NY,FOLDER; ILLUS;8.25 X 14;,DAILY,MANY ITEMS HANDWRITTEN; HOURS INCLUDED;,1900-1138,,,1900-02-18,Bartholdi Hotel,,Dollars,USD,complete,4,336,DAILY,1,Daily
12507,,HAAN'S,SUPPER,COMMERCIAL,75 ST. & COLUMBUS AVE. NY,BROADSHEET; COL; 7 X 11;,DAILY,COMPLETE WINE LIST ON BACK;,1900-1140,,,1900-02-19,Haan's,,Dollars,USD,complete,2,392,DAILY,1,Daily
12508,,MARIE ANTOINETTE HOTEL,LUNCHEON,COMMERCIAL,66 ST. & BWAY. NY,BROADSIDE; HOTEL EMBLEM; 4.5 X 7.5;,DAILY,,1900-1141,,,1900-02-19,Marie Antoinette Hotel,,Dollars,USD,complete,2,82,DAILY,1,Daily
12509,,RED STAR LINE - S.S.SOUTHWARK,DINNER,COMMERCIAL,EN ROUTE,BROADSHEET; ILLUS; COL; 5 X 8;,DAILY,MENU HANDWRITTEN;WINE LIST ON BACK;,1900-1169,,,1900-02-20,Red Star Line   S.S.Southwark,,Francs,FRF,complete,2,56,DAILY,1,Daily
12510,,MARIE ANTOINETTE HOTEL,DINNER,COMMERCIAL,66 ST. & B'WAY. NY,BROADSIDE; HOTEL EMBLEM; COL; 6.5 X 9;,DAILY,,1900-1173,,,1900-02-20,Marie Antoinette Hotel,,Dollars,USD,complete,2,128,DAILY,1,Daily
12516,,REVERE HOUSE,COMPLIMENTARY BANQUET GIVEN BY THE CITY GOVERNMENT OF BOSTON TO THE BOARDS OF TRADE OF THE WESTERN CITIES,RESTAURANT,"BOSTON, MA",BROADSIDE; ILLUS; 4.25 X 11.75,,MENU PRINTED IN BLACK ON CREAM SILK RIBBON WITH OVERSEWN SIDES; UNPRICED; ILLUSTRATION OF CITY AND COMMERCE SCENES; OUT OF PLACE MENU,1865-0001,,,1865-09-28,Parker House,,Dollars,USD,complete,4,422,,0,
12518,,COLUMBIA RESTAURANT,DAILY MENU,COMMERCIAL,"48 EAST 14TH STREET,[NEW YORK,NY?]",FOLDER;ILLUS;7.25X11.5;,DAILY;,2 COPIES;WINE LIST;,1901-1527,,,1901-06-03,Columbia Restaurant,,Dollars,USD,complete,4,475,DAILY,1,Daily
12523,,CITIZENS'STEAMBOAT COMPANY,LUNCH,COMMERCIAL,"STEAMER SARATOGA,TROY LINE",BOOKLET;ILLUS;COL;6.25X9;,DAILY;,AU SABLE CHASM ON FRONT COVER;BLUE MOUNTAIN LAKE ON BACK COVER;PRICED WINE LIST;,1901-1537,,,1901-01-01,Citizens'steamboat Company,,Dollars,USD,complete,8,246,DAILY,1,Daily
